timestamp,regno,url,status code
20181017 14:37,202688,http://beta.charitycommission.gov.uk/charity-details/?regid=202688&subid=0,200
20181017 14:37,202739,http://beta.charitycommission.gov.uk/charity-details/?regid=202739&subid=0,200
20181017 14:37,202744,http://beta.charitycommission.gov.uk/charity-details/?regid=202744&subid=0,200
20181017 14:37,202773,http://beta.charitycommission.gov.uk/charity-details/?regid=202773&subid=0,200
20181017 14:37,202795,http://beta.charitycommission.gov.uk/charity-details/?regid=202795&subid=0,200
20181017 14:37,202802,http://beta.charitycommission.gov.uk/charity-details/?regid=202802&subid=0,200
20181017 14:37,202804,http://beta.charitycommission.gov.uk/charity-details/?regid=202804&subid=0,200
20181017 14:37,200048,http://beta.charitycommission.gov.uk/charity-details/?regid=200048&subid=0,200
20181017 14:37,200074,http://beta.charitycommission.gov.uk/charity-details/?regid=200074&subid=0,200
20181017 14:37,200145,http://beta.charitycommission.gov.uk/charity-details/?regid=200145&subid=0,200
20181017 14:37,200148,http://beta.charitycommission.gov.uk/charity-details/?regid=200148&subid=0,200
20181017 14:37,200163,http://beta.charitycommission.gov.uk/charity-details/?regid=200163&subid=0,200
20181017 14:37,200165,http://beta.charitycommission.gov.uk/charity-details/?regid=200165&subid=0,200
20181017 14:37,200183,http://beta.charitycommission.gov.uk/charity-details/?regid=200183&subid=0,200
20181017 14:37,200187,http://beta.charitycommission.gov.uk/charity-details/?regid=200187&subid=0,200
20181017 14:37,200239,http://beta.charitycommission.gov.uk/charity-details/?regid=200239&subid=0,200
20181017 14:37,200299,http://beta.charitycommission.gov.uk/charity-details/?regid=200299&subid=0,200
20181017 14:37,200307,http://beta.charitycommission.gov.uk/charity-details/?regid=200307&subid=0,200
20181017 14:37,200338,http://beta.charitycommission.gov.uk/charity-details/?regid=200338&subid=0,200
20181017 14:37,200376,http://beta.charitycommission.gov.uk/charity-details/?regid=200376&subid=0,200
20181017 14:37,200445,http://beta.charitycommission.gov.uk/charity-details/?regid=200445&subid=0,200
20181017 14:37,200568,http://beta.charitycommission.gov.uk/charity-details/?regid=200568&subid=0,200
20181017 14:37,200574,http://beta.charitycommission.gov.uk/charity-details/?regid=200574&subid=0,200
20181017 14:37,200587,http://beta.charitycommission.gov.uk/charity-details/?regid=200587&subid=0,200
20181017 14:37,200789,http://beta.charitycommission.gov.uk/charity-details/?regid=200789&subid=0,200
20181017 14:37,200796,http://beta.charitycommission.gov.uk/charity-details/?regid=200796&subid=0,200
20181017 14:37,200856,http://beta.charitycommission.gov.uk/charity-details/?regid=200856&subid=0,200
20181017 14:37,200869,http://beta.charitycommission.gov.uk/charity-details/?regid=200869&subid=0,200
20181017 14:37,200950,http://beta.charitycommission.gov.uk/charity-details/?regid=200950&subid=0,200
20181017 14:37,200967,http://beta.charitycommission.gov.uk/charity-details/?regid=200967&subid=0,200
20181017 14:37,201062,http://beta.charitycommission.gov.uk/charity-details/?regid=201062&subid=0,200
20181017 14:37,201260,http://beta.charitycommission.gov.uk/charity-details/?regid=201260&subid=0,200
20181017 14:37,201269,http://beta.charitycommission.gov.uk/charity-details/?regid=201269&subid=0,200
20181017 14:37,201295,http://beta.charitycommission.gov.uk/charity-details/?regid=201295&subid=0,200
20181017 14:37,201341,http://beta.charitycommission.gov.uk/charity-details/?regid=201341&subid=0,200
20181017 14:37,201414,http://beta.charitycommission.gov.uk/charity-details/?regid=201414&subid=0,200
20181017 14:37,201504,http://beta.charitycommission.gov.uk/charity-details/?regid=201504&subid=0,200
20181017 14:37,201532,http://beta.charitycommission.gov.uk/charity-details/?regid=201532&subid=0,200
20181017 14:37,201547,http://beta.charitycommission.gov.uk/charity-details/?regid=201547&subid=0,200
20181017 14:37,201560,http://beta.charitycommission.gov.uk/charity-details/?regid=201560&subid=0,200
20181017 14:37,201573,http://beta.charitycommission.gov.uk/charity-details/?regid=201573&subid=0,200
20181017 14:37,201580,http://beta.charitycommission.gov.uk/charity-details/?regid=201580&subid=0,200
20181017 14:37,201631,http://beta.charitycommission.gov.uk/charity-details/?regid=201631&subid=0,200
20181017 14:37,201645,http://beta.charitycommission.gov.uk/charity-details/?regid=201645&subid=0,200
20181017 14:37,201653,http://beta.charitycommission.gov.uk/charity-details/?regid=201653&subid=0,200
20181017 14:37,201680,http://beta.charitycommission.gov.uk/charity-details/?regid=201680&subid=0,200
20181017 14:37,201701,http://beta.charitycommission.gov.uk/charity-details/?regid=201701&subid=0,200
20181017 14:37,201710,http://beta.charitycommission.gov.uk/charity-details/?regid=201710&subid=0,200
20181017 14:37,201735,http://beta.charitycommission.gov.uk/charity-details/?regid=201735&subid=0,200
20181017 14:37,201740,http://beta.charitycommission.gov.uk/charity-details/?regid=201740&subid=0,200
20181017 14:37,201742,http://beta.charitycommission.gov.uk/charity-details/?regid=201742&subid=0,200
20181017 14:37,201895,http://beta.charitycommission.gov.uk/charity-details/?regid=201895&subid=0,200
20181017 14:37,201897,http://beta.charitycommission.gov.uk/charity-details/?regid=201897&subid=0,200
20181017 14:37,201898,http://beta.charitycommission.gov.uk/charity-details/?regid=201898&subid=0,200
20181017 14:37,201953,http://beta.charitycommission.gov.uk/charity-details/?regid=201953&subid=0,200
20181017 14:37,201971,http://beta.charitycommission.gov.uk/charity-details/?regid=201971&subid=0,200
20181017 14:37,202020,http://beta.charitycommission.gov.uk/charity-details/?regid=202020&subid=0,200
20181017 14:37,202043,http://beta.charitycommission.gov.uk/charity-details/?regid=202043&subid=0,200
20181017 14:37,202053,http://beta.charitycommission.gov.uk/charity-details/?regid=202053&subid=0,200
20181017 14:37,202065,http://beta.charitycommission.gov.uk/charity-details/?regid=202065&subid=0,200
20181017 14:37,202077,http://beta.charitycommission.gov.uk/charity-details/?regid=202077&subid=0,200
20181017 14:37,202132,http://beta.charitycommission.gov.uk/charity-details/?regid=202132&subid=0,200
20181017 14:37,202137,http://beta.charitycommission.gov.uk/charity-details/?regid=202137&subid=0,200
20181017 14:37,202151,http://beta.charitycommission.gov.uk/charity-details/?regid=202151&subid=0,200
20181017 14:37,202153,http://beta.charitycommission.gov.uk/charity-details/?regid=202153&subid=0,200
20181017 14:38,202154,http://beta.charitycommission.gov.uk/charity-details/?regid=202154&subid=0,200
20181017 14:38,202187,http://beta.charitycommission.gov.uk/charity-details/?regid=202187&subid=0,200
20181017 14:38,202210,http://beta.charitycommission.gov.uk/charity-details/?regid=202210&subid=0,200
20181017 14:38,202222,http://beta.charitycommission.gov.uk/charity-details/?regid=202222&subid=0,200
20181017 14:38,202314,http://beta.charitycommission.gov.uk/charity-details/?regid=202314&subid=0,200
