timestamp,coyno,success,status code
20181016 15:59,1040449,0
20181016 15:59,1041155,0
20181016 15:59,1041163,0
20181016 15:59,1041502,0
20181016 15:59,1041633,0
20181016 15:59,1041714,0
20181016 15:59,1041714,0
20181016 15:59,1041761,0
20181016 15:59,1041946,0
20181016 15:59,1042317,0
20181016 15:59,1042417,0
20181016 15:59,1042474,0
20181016 15:59,1042664,0
20181016 15:59,1042950,0
20181016 15:59,1043209,0
20181016 15:59,1043448,0
20181016 15:59,1043567,0
20181016 15:59,1043719,0
20181016 15:59,104372,0
20181016 15:59,1043742,0
20181016 15:59,1043817,0
20181016 15:59,1043876,0
20181016 15:59,1044022,0
20181016 15:59,1044173,0
20181016 15:59,1044503,0
20181016 15:59,1044687,0
20181016 15:59,1044823,0
20181016 15:59,1045494,0
20181016 15:59,1045703,0
20181016 15:59,1045958,0
20181016 15:59,1045978,0
20181016 15:59,1046084,0
20181016 15:59,1046552,0
20181016 15:59,1046896,0
20181016 15:59,1047109,0
20181016 15:59,1047287,0
20181016 15:59,1047292,0
20181016 15:59,1047390,0
20181016 15:59,1047878,0
20181016 15:59,1048080,0
