timestamp,regno,url,success,failedattempts
20181016 15:55,200000,http://beta.charitycommission.gov.uk/charity-details/?regid=200000&subid=0,200
20181016 15:55,200001,http://beta.charitycommission.gov.uk/charity-details/?regid=200001&subid=0,200
20181016 15:55,200002,http://beta.charitycommission.gov.uk/charity-details/?regid=200002&subid=0,200
20181016 15:55,200003,http://beta.charitycommission.gov.uk/charity-details/?regid=200003&subid=0,200
20181016 15:56,200004,http://beta.charitycommission.gov.uk/charity-details/?regid=200004&subid=0,200
20181016 15:56,200005,http://beta.charitycommission.gov.uk/charity-details/?regid=200005&subid=0,200
20181016 15:56,200006,http://beta.charitycommission.gov.uk/charity-details/?regid=200006&subid=0,200
20181016 15:56,200007,http://beta.charitycommission.gov.uk/charity-details/?regid=200007&subid=0,200
20181016 15:56,200008,http://beta.charitycommission.gov.uk/charity-details/?regid=200008&subid=0,200
20181016 15:56,200009,http://beta.charitycommission.gov.uk/charity-details/?regid=200009&subid=0,200
20181016 15:56,200010,http://beta.charitycommission.gov.uk/charity-details/?regid=200010&subid=0,200
20181016 15:56,200011,http://beta.charitycommission.gov.uk/charity-details/?regid=200011&subid=0,200
20181016 15:56,200012,http://beta.charitycommission.gov.uk/charity-details/?regid=200012&subid=0,200
20181016 15:56,200013,http://beta.charitycommission.gov.uk/charity-details/?regid=200013&subid=0,200
20181016 15:56,200014,http://beta.charitycommission.gov.uk/charity-details/?regid=200014&subid=0,200
20181016 15:56,200015,http://beta.charitycommission.gov.uk/charity-details/?regid=200015&subid=0,200
20181016 15:56,200016,http://beta.charitycommission.gov.uk/charity-details/?regid=200016&subid=0,200
20181016 15:56,200017,http://beta.charitycommission.gov.uk/charity-details/?regid=200017&subid=0,200
20181016 15:56,200018,http://beta.charitycommission.gov.uk/charity-details/?regid=200018&subid=0,200
20181016 15:56,200019,http://beta.charitycommission.gov.uk/charity-details/?regid=200019&subid=0,200
20181016 15:56,200020,http://beta.charitycommission.gov.uk/charity-details/?regid=200020&subid=0,200
20181016 15:56,200021,http://beta.charitycommission.gov.uk/charity-details/?regid=200021&subid=0,200
20181016 15:56,200022,http://beta.charitycommission.gov.uk/charity-details/?regid=200022&subid=0,200
20181016 15:56,200023,http://beta.charitycommission.gov.uk/charity-details/?regid=200023&subid=0,200
20181016 15:56,200024,http://beta.charitycommission.gov.uk/charity-details/?regid=200024&subid=0,200
20181016 15:56,200025,http://beta.charitycommission.gov.uk/charity-details/?regid=200025&subid=0,200
20181016 15:56,200027,http://beta.charitycommission.gov.uk/charity-details/?regid=200027&subid=0,200
20181016 15:56,200028,http://beta.charitycommission.gov.uk/charity-details/?regid=200028&subid=0,200
20181016 15:56,200032,http://beta.charitycommission.gov.uk/charity-details/?regid=200032&subid=0,200
20181016 15:56,200033,http://beta.charitycommission.gov.uk/charity-details/?regid=200033&subid=0,200
20181016 15:56,200034,http://beta.charitycommission.gov.uk/charity-details/?regid=200034&subid=0,200
20181016 15:56,200036,http://beta.charitycommission.gov.uk/charity-details/?regid=200036&subid=0,200
20181016 15:56,200037,http://beta.charitycommission.gov.uk/charity-details/?regid=200037&subid=0,200
20181016 15:56,200039,http://beta.charitycommission.gov.uk/charity-details/?regid=200039&subid=0,200
20181016 15:56,200040,http://beta.charitycommission.gov.uk/charity-details/?regid=200040&subid=0,200
20181016 15:56,200041,http://beta.charitycommission.gov.uk/charity-details/?regid=200041&subid=0,200
20181016 15:56,200042,http://beta.charitycommission.gov.uk/charity-details/?regid=200042&subid=0,200
20181016 15:56,200043,http://beta.charitycommission.gov.uk/charity-details/?regid=200043&subid=0,200
